sample-id	forward-absolute-filepath	reverse-absolute-filepath
DK1	DK1_50_L001_R1_001.fastq.gz	DK1_50_L001_R2_001.fastq.gz
DK2	DK2_48_L001_R1_001.fastq.gz	DK2_48_L001_R2_001.fastq.gz
DK3	DK3_29_L001_R1_001.fastq.gz	DK3_29_L001_R2_001.fastq.gz
DK4	DK4_11_L001_R1_001.fastq.gz	DK4_11_L001_R2_001.fastq.gz
DK5	DK5_87_L001_R1_001.fastq.gz	DK5_87_L001_R2_001.fastq.gz
DK6	DK6_75_L001_R1_001.fastq.gz	DK6_75_L001_R2_001.fastq.gz
DK9	DK9_2_L001_R1_001.fastq.gz	DK9_2_L001_R2_001.fastq.gz
DK10	DK10_62_L001_R1_001.fastq.gz	DK10_62_L001_R2_001.fastq.gz
DK11	DK11_74_L001_R1_001.fastq.gz	DK11_74_L001_R2_001.fastq.gz
DK12	DK12_61_L001_R1_001.fastq.gz	DK12_61_L001_R2_001.fastq.gz
DK13	DK13_5_L001_R1_001.fastq.gz	DK13_5_L001_R2_001.fastq.gz
DK14	DK14_58_L001_R1_001.fastq.gz	DK14_58_L001_R2_001.fastq.gz
DK15	DK15_70_L001_R1_001.fastq.gz	DK15_70_L001_R2_001.fastq.gz
DK16	DK16_63_L001_R1_001.fastq.gz	DK16_63_L001_R2_001.fastq.gz
DK17	DK17_44_L001_R1_001.fastq.gz	DK17_44_L001_R2_001.fastq.gz
DK18	DK18_41_L001_R1_001.fastq.gz	DK18_41_L001_R2_001.fastq.gz
DK24	DK24_77_L001_R1_001.fastq.gz	DK24_77_L001_R2_001.fastq.gz
DK25	DK25_13_L001_R1_001.fastq.gz	DK25_13_L001_R2_001.fastq.gz
DK26	DK26_24_L001_R1_001.fastq.gz	DK26_24_L001_R2_001.fastq.gz
DK27	DK27_73_L001_R1_001.fastq.gz	DK27_73_L001_R2_001.fastq.gz
DK28	DK28_8_L001_R1_001.fastq.gz	DK28_8_L001_R2_001.fastq.gz
DK29	DK29_59_L001_R1_001.fastq.gz	DK29_59_L001_R2_001.fastq.gz
DK30	DK30_18_L001_R1_001.fastq.gz	DK30_18_L001_R2_001.fastq.gz
DK31	DK31_79_L001_R1_001.fastq.gz	DK31_79_L001_R2_001.fastq.gz
DK32	DK32_34_L001_R1_001.fastq.gz	DK32_34_L001_R2_001.fastq.gz
DK33	DK33_19_L001_R1_001.fastq.gz	DK33_19_L001_R2_001.fastq.gz
DK34	DK34_54_L001_R1_001.fastq.gz	DK34_54_L001_R2_001.fastq.gz
DK35	DK35_64_L001_R1_001.fastq.gz	DK35_64_L001_R2_001.fastq.gz
DK36	DK36_3_L001_R1_001.fastq.gz	DK36_3_L001_R2_001.fastq.gz
DK37	DK37_20_L001_R1_001.fastq.gz	DK37_20_L001_R2_001.fastq.gz
DK38	DK38_4_L001_R1_001.fastq.gz	DK38_4_L001_R2_001.fastq.gz
DK39	DK39_35_L001_R1_001.fastq.gz	DK39_35_L001_R2_001.fastq.gz
LP1	LP1_55_L001_R1_001.fastq.gz	LP1_55_L001_R2_001.fastq.gz
LP2	LP2_31_L001_R1_001.fastq.gz	LP2_31_L001_R2_001.fastq.gz
LP3	LP3_28_L001_R1_001.fastq.gz	LP3_28_L001_R2_001.fastq.gz
LP4	LP4_57_L001_R1_001.fastq.gz	LP4_57_L001_R2_001.fastq.gz
LP5	LP5_7_L001_R1_001.fastq.gz	LP5_7_L001_R2_001.fastq.gz
LP6	LP6_66_L001_R1_001.fastq.gz	LP6_66_L001_R2_001.fastq.gz
LP7	LP7_68_L001_R1_001.fastq.gz	LP7_68_L001_R2_001.fastq.gz
LP8	LP8_43_L001_R1_001.fastq.gz	LP8_43_L001_R2_001.fastq.gz
LP9	LP9_72_L001_R1_001.fastq.gz	LP9_72_L001_R2_001.fastq.gz
LP10	LP10_17_L001_R1_001.fastq.gz	LP10_17_L001_R2_001.fastq.gz
LP11	LP11_22_L001_R1_001.fastq.gz	LP11_22_L001_R2_001.fastq.gz
LP12	LP12_38_L001_R1_001.fastq.gz	LP12_38_L001_R2_001.fastq.gz
LP13	LP13_76_L001_R1_001.fastq.gz	LP13_76_L001_R2_001.fastq.gz
LP14	LP14_78_L001_R1_001.fastq.gz	LP14_78_L001_R2_001.fastq.gz
LP15	LP15_65_L001_R1_001.fastq.gz	LP15_65_L001_R2_001.fastq.gz
LP16	LP16_12_L001_R1_001.fastq.gz	LP16_12_L001_R2_001.fastq.gz
LP17	LP17_45_L001_R1_001.fastq.gz	LP17_45_L001_R2_001.fastq.gz
LP18	LP18_1_L001_R1_001.fastq.gz	LP18_1_L001_R2_001.fastq.gz
LP19	LP19_40_L001_R1_001.fastq.gz	LP19_40_L001_R2_001.fastq.gz
LP20	LP20_10_L001_R1_001.fastq.gz	LP20_10_L001_R2_001.fastq.gz
LP21	LP21_21_L001_R1_001.fastq.gz	LP21_21_L001_R2_001.fastq.gz
LP23	LP23_67_L001_R1_001.fastq.gz	LP23_67_L001_R2_001.fastq.gz
LP24	LP24_26_L001_R1_001.fastq.gz	LP24_26_L001_R2_001.fastq.gz
LP25	LP25_80_L001_R1_001.fastq.gz	LP25_80_L001_R2_001.fastq.gz
LP26	LP26_16_L001_R1_001.fastq.gz	LP26_16_L001_R2_001.fastq.gz
LP27	LP27_15_L001_R1_001.fastq.gz	LP27_15_L001_R2_001.fastq.gz
LP28	LP28_32_L001_R1_001.fastq.gz	LP28_32_L001_R2_001.fastq.gz
LP32	LP32_14_L001_R1_001.fastq.gz	LP32_14_L001_R2_001.fastq.gz
LP33	LP33_33_L001_R1_001.fastq.gz	LP33_33_L001_R2_001.fastq.gz
LP34	LP34_46_L001_R1_001.fastq.gz	LP34_46_L001_R2_001.fastq.gz
LP43	LP43_47_L001_R1_001.fastq.gz	LP43_47_L001_R2_001.fastq.gz
LP44	LP44_23_L001_R1_001.fastq.gz	LP44_23_L001_R2_001.fastq.gz
LP45	LP45_60_L001_R1_001.fastq.gz	LP45_60_L001_R2_001.fastq.gz
LP46	LP46_30_L001_R1_001.fastq.gz	LP46_30_L001_R2_001.fastq.gz
MD23	MD23_27_L001_R1_001.fastq.gz	MD23_27_L001_R2_001.fastq.gz
MD24	MD24_6_L001_R1_001.fastq.gz	MD24_6_L001_R2_001.fastq.gz
MD38	MD38_56_L001_R1_001.fastq.gz	MD38_56_L001_R2_001.fastq.gz
MD39	MD39_39_L001_R1_001.fastq.gz	MD39_39_L001_R2_001.fastq.gz
MD40	MD40_71_L001_R1_001.fastq.gz	MD40_71_L001_R2_001.fastq.gz
MD41	MD41_52_L001_R1_001.fastq.gz	MD41_52_L001_R2_001.fastq.gz
MD43	MD43_51_L001_R1_001.fastq.gz	MD43_51_L001_R2_001.fastq.gz
MD44	MD44_9_L001_R1_001.fastq.gz	MD44_9_L001_R2_001.fastq.gz
MD45	MD45_42_L001_R1_001.fastq.gz	MD45_42_L001_R2_001.fastq.gz
BL36	BL36_37_L001_R1_001.fastq.gz	BL36_37_L001_R2_001.fastq.gz
BL40	BL40_69_L001_R1_001.fastq.gz	BL40_69_L001_R2_001.fastq.gz
BL42	BL42_53_L001_R1_001.fastq.gz	BL42_53_L001_R2_001.fastq.gz
BL44	BL44_36_L001_R1_001.fastq.gz	BL44_36_L001_R2_001.fastq.gz
BL45	BL45_49_L001_R1_001.fastq.gz	BL45_49_L001_R2_001.fastq.gz
BLANK.1.CO	BLANK.1.CO_86_L001_R1_001.fastq.gz	BLANK.1.CO_86_L001_R2_001.fastq.gz
BLANK.2.CO	BLANK.2.CO_88_L001_R1_001.fastq.gz	BLANK.2.CO_88_L001_R2_001.fastq.gz
BLANK.3.CO	BLANK.3.CO_85_L001_R1_001.fastq.gz	BLANK.3.CO_85_L001_R2_001.fastq.gz
BLANK.4.CO	BLANK.4.CO_83_L001_R1_001.fastq.gz	BLANK.4.CO_83_L001_R2_001.fastq.gz
BLANK.7.CO	BLANK.7.CO_84_L001_R1_001.fastq.gz	BLANK.7.CO_84_L001_R2_001.fastq.gz
BLANK1	BLANK1_69_L001_R1_001.fastq.gz	BLANK1_69_L001_R2_001.fastq.gz
BLANK2	BLANK2_71_L001_R1_001.fastq.gz	BLANK2_71_L001_R2_001.fastq.gz
MD1	MD1_31_L001_R1_001.fastq.gz	MD1_31_L001_R2_001.fastq.gz
MD2	MD2_53_L001_R1_001.fastq.gz	MD2_53_L001_R2_001.fastq.gz
MD3	MD3_66_L001_R1_001.fastq.gz	MD3_66_L001_R2_001.fastq.gz
MD4	MD4_21_L001_R1_001.fastq.gz	MD4_21_L001_R2_001.fastq.gz
MD5	MD5_45_L001_R1_001.fastq.gz	MD5_45_L001_R2_001.fastq.gz
MD6	MD6_24_L001_R1_001.fastq.gz	MD6_24_L001_R2_001.fastq.gz
MD7	MD7_2_L001_R1_001.fastq.gz	MD7_2_L001_R2_001.fastq.gz
MD8	MD8_67_L001_R1_001.fastq.gz	MD8_67_L001_R2_001.fastq.gz
MD9	MD9_56_L001_R1_001.fastq.gz	MD9_56_L001_R2_001.fastq.gz
MD10	MD10_14_L001_R1_001.fastq.gz	MD10_14_L001_R2_001.fastq.gz
MD11	MD11_15_L001_R1_001.fastq.gz	MD11_15_L001_R2_001.fastq.gz
M12	M12_4_L001_R1_001.fastq.gz	M12_4_L001_R2_001.fastq.gz
MD13	MD13_34_L001_R1_001.fastq.gz	MD13_34_L001_R2_001.fastq.gz
MD14	MD14_37_L001_R1_001.fastq.gz	MD14_37_L001_R2_001.fastq.gz
MD15	MD15_57_L001_R1_001.fastq.gz	MD15_57_L001_R2_001.fastq.gz
MD16	MD16_11_L001_R1_001.fastq.gz	MD16_11_L001_R2_001.fastq.gz
MD17	MD17_44_L001_R1_001.fastq.gz	MD17_44_L001_R2_001.fastq.gz
MD18	MD18_42_L001_R1_001.fastq.gz	MD18_42_L001_R2_001.fastq.gz
MD19	MD19_8_L001_R1_001.fastq.gz	MD19_8_L001_R2_001.fastq.gz
MD20	MD20_60_L001_R1_001.fastq.gz	MD20_60_L001_R2_001.fastq.gz
MD21	MD21_25_L001_R1_001.fastq.gz	MD21_25_L001_R2_001.fastq.gz
MD22	MD22_70_L001_R1_001.fastq.gz	MD22_70_L001_R2_001.fastq.gz
MD25	MD25_50_L001_R1_001.fastq.gz	MD25_50_L001_R2_001.fastq.gz
MD28	MD28_35_L001_R1_001.fastq.gz	MD28_35_L001_R2_001.fastq.gz
MD29	MD29_17_L001_R1_001.fastq.gz	MD29_17_L001_R2_001.fastq.gz
MD30	MD30_12_L001_R1_001.fastq.gz	MD30_12_L001_R2_001.fastq.gz
MD31	MD31_19_L001_R1_001.fastq.gz	MD31_19_L001_R2_001.fastq.gz
MD32	MD32_64_L001_R1_001.fastq.gz	MD32_64_L001_R2_001.fastq.gz
MD33	MD33_26_L001_R1_001.fastq.gz	MD33_26_L001_R2_001.fastq.gz
MD34	MD34_33_L001_R1_001.fastq.gz	MD34_33_L001_R2_001.fastq.gz
MD35	MD35_49_L001_R1_001.fastq.gz	MD35_49_L001_R2_001.fastq.gz
MD42	MD42_46_L001_R1_001.fastq.gz	MD42_46_L001_R2_001.fastq.gz
MD46	MD46_10_L001_R1_001.fastq.gz	MD46_10_L001_R2_001.fastq.gz
MD47	MD47_65_L001_R1_001.fastq.gz	MD47_65_L001_R2_001.fastq.gz
BL1	BL1_39_L001_R1_001.fastq.gz	BL1_39_L001_R2_001.fastq.gz
BL2	BL2_51_L001_R1_001.fastq.gz	BL2_51_L001_R2_001.fastq.gz
BL3	BL3_13_L001_R1_001.fastq.gz	BL3_13_L001_R2_001.fastq.gz
BL4	BL4_30_L001_R1_001.fastq.gz	BL4_30_L001_R2_001.fastq.gz
BL5	BL5_52_L001_R1_001.fastq.gz	BL5_52_L001_R2_001.fastq.gz
BL6	BL6_40_L001_R1_001.fastq.gz	BL6_40_L001_R2_001.fastq.gz
BL7	BL7_1_L001_R1_001.fastq.gz	BL7_1_L001_R2_001.fastq.gz
BL8	BL8_5_L001_R1_001.fastq.gz	BL8_5_L001_R2_001.fastq.gz
BL9	BL9_47_L001_R1_001.fastq.gz	BL9_47_L001_R2_001.fastq.gz
BL10	BL10_36_L001_R1_001.fastq.gz	BL10_36_L001_R2_001.fastq.gz
BL11	BL11_63_L001_R1_001.fastq.gz	BL11_63_L001_R2_001.fastq.gz
BL12	BL12_6_L001_R1_001.fastq.gz	BL12_6_L001_R2_001.fastq.gz
BL13	BL13_29_L001_R1_001.fastq.gz	BL13_29_L001_R2_001.fastq.gz
BL14	BL14_48_L001_R1_001.fastq.gz	BL14_48_L001_R2_001.fastq.gz
BL15	BL15_28_L001_R1_001.fastq.gz	BL15_28_L001_R2_001.fastq.gz
BL16	BL16_3_L001_R1_001.fastq.gz	BL16_3_L001_R2_001.fastq.gz
BL17	BL17_23_L001_R1_001.fastq.gz	BL17_23_L001_R2_001.fastq.gz
BL18	BL18_41_L001_R1_001.fastq.gz	BL18_41_L001_R2_001.fastq.gz
BL19	BL19_16_L001_R1_001.fastq.gz	BL19_16_L001_R2_001.fastq.gz
BL20	BL20_7_L001_R1_001.fastq.gz	BL20_7_L001_R2_001.fastq.gz
BLANK3	BLANK3_73_L001_R1_001.fastq.gz	BLANK3_73_L001_R2_001.fastq.gz
BL21	BL21_20_L001_R1_001.fastq.gz	BL21_20_L001_R2_001.fastq.gz
BL22	BL22_43_L001_R1_001.fastq.gz	BL22_43_L001_R2_001.fastq.gz
BL23	BL23_27_L001_R1_001.fastq.gz	BL23_27_L001_R2_001.fastq.gz
BL24	BL24_55_L001_R1_001.fastq.gz	BL24_55_L001_R2_001.fastq.gz
BL25	BL25_62_L001_R1_001.fastq.gz	BL25_62_L001_R2_001.fastq.gz
BLANK4	BLANK4_72_L001_R1_001.fastq.gz	BLANK4_72_L001_R2_001.fastq.gz
BLANK5	BLANK5_74_L001_R1_001.fastq.gz	BLANK5_74_L001_R2_001.fastq.gz
BL26	BL26_54_L001_R1_001.fastq.gz	BL26_54_L001_R2_001.fastq.gz
BL27	BL27_59_L001_R1_001.fastq.gz	BL27_59_L001_R2_001.fastq.gz
BL28	BL28_32_L001_R1_001.fastq.gz	BL28_32_L001_R2_001.fastq.gz
BL29	BL29_68_L001_R1_001.fastq.gz	BL29_68_L001_R2_001.fastq.gz
BL30	BL30_9_L001_R1_001.fastq.gz	BL30_9_L001_R2_001.fastq.gz
BL32	BL32_22_L001_R1_001.fastq.gz	BL32_22_L001_R2_001.fastq.gz
BL33	BL33_38_L001_R1_001.fastq.gz	BL33_38_L001_R2_001.fastq.gz
BL34	BL34_18_L001_R1_001.fastq.gz	BL34_18_L001_R2_001.fastq.gz
BL35	BL35_58_L001_R1_001.fastq.gz	BL35_58_L001_R2_001.fastq.gz
BL43	BL43_61_L001_R1_001.fastq.gz	BL43_61_L001_R2_001.fastq.gz
